a;60;14/01/2024 18:42
a;60;14/01/2024 18:42
a;150;14/01/2024 18:43
a;60;14/01/2024 18:43
a;0;2024-01-16 16:25
a;0;2024-01-16 16:26
a;0;2024-01-16 16:26
a;0;2024-01-16 16:30
a;0;2024-01-16 16:31
a;0;2024-01-16 16:31
a;0;2024-01-16 16:31
a;0;2024-01-16 16:31
a;0;2024-01-16 16:33
a;0;2024-01-16 16:40
a;0;2024-01-16 16:41
a;100;2024-01-16 18:09
a;10;2024-01-16 17:17
a;0;2024-01-16 17:18
a;0;2024-01-16 17:19
a;0;2024-01-16 17:21
a;10;2024-01-16 17:22
a;0;2024-01-16 17:27
a;0;2024-01-16 17:29
a;20;2024-01-16 17:51
a;0;2024-01-16 18:35
a;200;2024-01-16 18:35
a;0;2024-01-16 18:41
a;200;2024-01-16 18:41
a;500;2024-01-16 18:43
a;300;2024-01-16 18:44
